provide_id,user_id,item_id,qty,provide_date
1,1,1,50,2024-10-07 10:30:00
2,2,6,100,2024-10-07 11:00:00
3,5,2,200,2024-10-07 12:00:00
4,6,12,30,2024-10-07 13:00:00
5,7,9,10,2024-10-08 10:00:00
6,15,1,200,2024-10-08 08:00:00
7,37,4,100,2024-10-09 09:00:00
8,38,2,150,2024-10-09 10:00:00
9,39,6,200,2024-10-09 11:00:00
10,40,7,5,2024-10-09 12:00:00
11,41,7,3,2024-10-10 09:30:00
12,42,18,3,2024-10-09 15:00:00
13,43,18,3,2024-10-10 10:00:00
14,44,13,25,2024-10-09 18:00:00
15,45,13,10,2024-10-10 08:00:00
16,46,21,15,2024-10-10 11:00:00
17,47,21,10,2024-10-10 14:00:00
18,48,22,20,2024-10-10 20:00:00
19,49,23,30,2024-10-10 18:00:00
20,50,24,50,2024-10-10 19:00:00
21,1,5,20,2024-10-10 12:00:00
22,2,11,30,2024-10-10 13:00:00
23,5,14,40,2024-10-11 14:00:00
24,6,15,40,2024-10-11 15:00:00
25,7,19,15,2024-10-11 16:00:00
26,51,31,100,2024-10-11 17:00:00
27,52,32,80,2024-10-11 18:00:00
28,53,33,50,2024-10-11 19:00:00
29,54,34,40,2024-10-11 20:00:00
30,55,35,200,2024-10-12 08:00:00
31,56,36,10,2024-10-12 09:00:00
32,57,37,20,2024-10-12 10:00:00
33,58,38,5,2024-10-12 11:00:00
34,59,39,30,2024-10-12 12:00:00
35,60,40,200,2024-10-12 13:00:00
36,61,41,100,2024-10-12 14:00:00
37,62,42,50,2024-10-12 15:00:00
38,63,43,40,2024-10-12 16:00:00
39,64,44,30,2024-10-12 17:00:00
40,65,45,20,2024-10-12 18:00:00
41,66,46,15,2024-10-12 19:00:00
42,67,47,25,2024-10-12 20:00:00
43,68,48,20,2024-10-13 08:00:00
44,69,49,30,2024-10-13 09:00:00
45,70,50,10,2024-10-13 10:00:00
46,71,51,100,2024-10-13 11:00:00
47,72,52,80,2024-10-13 12:00:00
48,73,53,200,2024-10-13 13:00:00
49,74,54,30,2024-10-13 14:00:00
50,75,55,20,2024-10-13 15:00:00
51,76,56,15,2024-10-13 16:00:00
52,77,57,10,2024-10-13 17:00:00
53,78,58,5,2024-10-13 18:00:00
54,79,59,3,2024-10-13 19:00:00
55,80,60,2,2024-10-13 20:00:00
56,81,1,150,2024-10-14 08:00:00
57,82,2,200,2024-10-14 09:00:00
58,83,6,300,2024-10-14 10:00:00
59,84,9,15,2024-10-14 11:00:00
60,85,10,40,2024-10-14 12:00:00
61,86,12,60,2024-10-14 13:00:00
62,87,13,40,2024-10-14 14:00:00
63,88,16,8,2024-10-14 15:00:00
64,89,17,15,2024-10-14 16:00:00
65,90,18,40,2024-10-14 17:00:00
66,91,19,20,2024-10-14 18:00:00
67,92,21,60,2024-10-14 19:00:00
68,93,22,25,2024-10-14 20:00:00
69,94,23,40,2024-10-15 08:00:00
70,95,24,60,2024-10-15 09:00:00
71,96,25,2,2024-10-15 10:00:00
72,97,26,2,2024-10-15 11:00:00
73,98,27,3,2024-10-15 12:00:00
74,99,28,8,2024-10-15 13:00:00
75,100,29,500,2024-10-15 14:00:00

